destination_name,destination_type,jurisdiction_country,jurisdiction_state,jurisdiction_county,jurisdiction_city,categories_handled,intake_method,complaint_url,email,phone,mailing_address_line1,mailing_address_line2,mailing_address_city,mailing_address_state,mailing_address_postal_code,source_url,last_verified_date,trust_level,notes_required_fields,notes_required_documents,incident_categories,business_types,priority_weight,exclusions,reason_template
Iowa Consumer Complaint,state_agency,US,IA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.iowaattorneygeneral.gov/about-us/divisions/consumer-protection,,+1-888-777-4590,,,,,,https://www.iowaattorneygeneral.gov/about-us/divisions/consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Iowa.
Idaho Consumer Complaint,state_agency,US,ID,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.ag.idaho.gov/consumer-protection/,,+1-800-432-3545,,,,,,https://www.ag.idaho.gov/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Idaho.
Illinois Consumer Complaint,state_agency,US,IL,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://illinoisattorneygeneral.gov/consumer-protection/,,+1-800-386-5438,,,,,,https://illinoisattorneygeneral.gov/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Illinois.
Indiana Consumer Complaint,state_agency,US,IN,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.in.gov/attorneygeneral/consumer-protection-division/,,+1-800-457-8283,,,,,,https://www.in.gov/attorneygeneral/consumer-protection-division/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Indiana.
Kansas Consumer Complaint,state_agency,US,KS,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.ag.ks.gov/divisions/public-protection/consumer-protection,,+1-800-432-2310,,,,,,https://www.ag.ks.gov/divisions/public-protection/consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Kansas.
Kentucky Consumer Complaint,state_agency,US,KY,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.ag.ky.gov/about/Office-Divisions/OCP/Pages/default.aspx,,+1-888-432-9257,,,,,,https://www.ag.ky.gov/about/Office-Divisions/OCP/Pages/default.aspx,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Kentucky.
Louisiana Consumer Complaint,state_agency,US,LA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.ag.state.la.us/Division/PublicProtection#consumer-protection,,+1-800-351-4889,,,,,,https://www.ag.state.la.us/Division/PublicProtection#consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Louisiana.
Massachusetts Consumer Complaint,state_agency,US,MA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.mass.gov/how-to/file-a-consumer-complaint,,+1-617-727-8400,,,,,,https://www.mass.gov/how-to/file-a-consumer-complaint,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Massachusetts.
Maryland Consumer Complaint,state_agency,US,MD,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.marylandattorneygeneral.gov/Pages/CPD/default.aspx,,+1-888-743-0023,,,,,,https://www.marylandattorneygeneral.gov/Pages/CPD/default.aspx,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Maryland.
Maine Consumer Complaint,state_agency,US,ME,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.maine.gov/ag/consumer/index.shtml,,+1-207-626-8800,,,,,,https://www.maine.gov/ag/consumer/index.shtml,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Maine.
Michigan Consumer Complaint,state_agency,US,MI,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.michigan.gov/consumerprotection,,+1-877-765-8388,,,,,,https://www.michigan.gov/consumerprotection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Michigan.
Minnesota Consumer Complaint,state_agency,US,MN,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.ag.state.mn.us/Office/Complaint.asp,,+1-800-657-3787,,,,,,https://www.ag.state.mn.us/Office/Complaint.asp,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Minnesota.
Missouri Consumer Complaint,state_agency,US,MO,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://ago.mo.gov/civil-division/consumer,,+1-800-392-8222,,,,,,https://ago.mo.gov/civil-division/consumer,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Missouri.
Mississippi Consumer Complaint,state_agency,US,MS,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://attorneygenerallynnfitch.com/divisions/consumer-protection/,,+1-800-281-4418,,,,,,https://attorneygenerallynnfitch.com/divisions/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Mississippi.
Montana Consumer Complaint,state_agency,US,MT,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://dojmt.gov/office-of-consumer-protection/,,+1-800-481-6896,,,,,,https://dojmt.gov/office-of-consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Montana.
North Carolina Consumer Complaint,state_agency,US,NC,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://ncdoj.gov/protecting-consumers/,,+1-919-716-6000,,,,,,https://ncdoj.gov/protecting-consumers/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in North Carolina.
North Dakota Consumer Complaint,state_agency,US,ND,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://attorneygeneral.nd.gov/consumer-resources/,,+1-800-472-2600,,,,,,https://attorneygeneral.nd.gov/consumer-resources/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in North Dakota.
Nebraska Consumer Complaint,state_agency,US,NE,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://protectthegoodlife.nebraska.gov/,,+1-402-471-2682,,,,,,https://protectthegoodlife.nebraska.gov/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Nebraska.
New Hampshire Consumer Complaint,state_agency,US,NH,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.doj.nh.gov/consumer/complaints/index.htm,DOJ-CPB@doj.nh.gov,+1-603-271-3641,,,,,,https://www.doj.nh.gov/citizens/consumer-protection-antitrust-bureau,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in New Hampshire.
New Jersey Consumer Complaint,state_agency,US,NJ,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.njconsumeraffairs.gov/,,+1-800-242-5846,,,,,,https://www.njconsumeraffairs.gov/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in New Jersey.
New Mexico Consumer Complaint,state_agency,US,NM,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://nmdoj.gov/about-the-office/consumer-affairs/#consumer-protection,,+1-844-255-9210,,,,,,https://nmdoj.gov/about-the-office/consumer-affairs/#consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in New Mexico.
Nevada Consumer Complaint,state_agency,US,NV,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://ag.nv.gov/About/Consumer_Protection/Bureau_of_Consumer_Protection/,,+1-888-434-9989,,,,,,https://ag.nv.gov/About/Consumer_Protection/Bureau_of_Consumer_Protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Nevada.
New York Consumer Complaint,state_agency,US,NY,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://ag.ny.gov/file-complaint/consumer,,+1-800-697-1220,,,,,,https://ag.ny.gov/file-complaint/consumer,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in New York.
Ohio Consumer Complaint,state_agency,US,OH,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.ohioattorneygeneral.gov/about-ag/service-divisions/consumer-protection,,+1-800-282-0515,,,,,,https://www.ohioattorneygeneral.gov/about-ag/service-divisions/consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Ohio.
Oklahoma Consumer Complaint,state_agency,US,OK,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://oklahoma.gov/oag/about/divisions/cpu.html,,+1-405-521-2029,,,,,,https://oklahoma.gov/oag/about/divisions/cpu.html,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Oklahoma.
Oregon Consumer Complaint,state_agency,US,OR,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.doj.state.or.us/consumer-protection/,,+1-877-877-9392,,,,,,https://www.doj.state.or.us/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Oregon.
Pennsylvania Consumer Complaint,state_agency,US,PA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.attorneygeneral.gov/protect-yourself/consumer-advisories/,,+1-800-441-2555,,,,,,https://www.attorneygeneral.gov/protect-yourself/consumer-advisories/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Pennsylvania.
Rhode Island Consumer Complaint,state_agency,US,RI,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://riag.ri.gov/consumerprotection,,+1-401-274-4400,,,,,,https://riag.ri.gov/consumerprotection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Rhode Island.
South Carolina Consumer Complaint,state_agency,US,SC,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://consumer.sc.gov/,,+1-800-922-1594,,,,,,https://consumer.sc.gov/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in South Carolina.
South Dakota Consumer Complaint,state_agency,US,SD,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://consumer.sd.gov/complaintform.aspx,consumerhelp@state.sd.us,+1-800-300-1986,,,,,,https://consumer.sd.gov/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in South Dakota.
Tennessee Consumer Complaint,state_agency,US,TN,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.tn.gov/attorneygeneral/working-for-tennessee/consumer-affairs.html,consumer.affairs@ag.tn.gov,+1-615-741-4737,,,,,,https://www.tn.gov/attorneygeneral/working-for-tennessee/consumer-affairs.html,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Tennessee.
Texas Consumer Complaint,state_agency,US,TX,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.texasattorneygeneral.gov/consumer-protection/file-consumer-complaint,,+1-800-621-0508,,,,,,https://www.texasattorneygeneral.gov/consumer-protection,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Texas.
Utah Consumer Complaint,state_agency,US,UT,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://dcp.utah.gov/,,+1-801-530-6601,,,,,,https://dcp.utah.gov/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Utah.
Virginia Consumer Complaint,state_agency,US,VA,,,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,web_form,https://www.oag.state.va.us/consumer-protection/,,+1-800-552-9963,,,,,,https://www.oag.state.va.us/consumer-protection/,2026-04-07,official,complainant_name|contact_information|business_name|incident_dates|summary,receipts|contracts|emails|texts|screenshots,consumer_billing|retail_transaction|service_quality|fraud_or_deception|privacy_or_data,general_business|retail|online_services|home_services,90,workplace_only|housing_discrimination_federal_priority|regulated_financial_product_federal_priority,This route fits a consumer complaint about goods or services in Virginia.
